,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,min,max,mean,med,std,label
923,24.0,24.0,0.2,0.216,0.2093333333333333,0.212,0.0083266639978645,PVC,0.3190772926751817,0.8062493779331816,0.4888872888757171,0.3837693581838532,0.1980068315830822,PVC
924,25.0,25.0,0.7,1.5,1.1,1.15,0.2927700218845599,PVC,-0.3010354435197771,1.6787575269870678,0.3890291867622212,-0.0346647251202126,0.8042973836579208,PVC
925,26.0,26.0,0.164,0.64,0.402,0.402,0.3365828278447966,PVC,0.0748750935286265,2.2839984263645654,0.8448189848557283,0.3651643604783005,0.8982024262218733,PVC
926,27.0,27.0,0.8,1.4,1.0777777777777775,1.0,0.1922093765778465,PVC,0.963483348425298,1.6614699610920507,1.2068073188102035,1.0555068874167493,0.2837611891990673,PVC
927,28.0,28.0,0.6,1.1,0.89,0.9,0.1523883926754995,PVC,0.8167601200866873,1.3232027328145115,0.9933270223060986,0.8845573881067473,0.2057788935248193,PVC
928,29.0,29.0,0.448,0.824,0.6226666666666667,0.5760000000000001,0.1550776149760714,PVC,0.5831237514914996,1.1824476591048672,0.7920594253283756,0.6623571724728947,0.2436274978689567,PVC
929,30.0,30.0,0.296,0.488,0.392,0.392,0.1357645019878171,PVC,0.5681496107958564,0.9489424433665626,0.7009141198304895,0.6188302483656054,0.1547555940041561,PVC
930,31.0,31.0,0.216,0.464,0.34,0.34,0.1753624817342638,PVC,0.394160925901574,0.8769720500372976,0.5624739432120021,0.4581290415021349,0.196250385032289,PVC
931,32.0,32.0,0.128,0.448,0.264,0.216,0.1653118265581746,PVC,0.3245830467716544,0.8304838283975267,0.5009289446037141,0.3918152303805238,0.2056144959716937,PVC
932,33.0,33.0,0.076,0.228,0.152,0.152,0.1074802307403552,PVC,0.2748687288652045,0.8276907849827808,0.4675607157454307,0.3481748428794043,0.2247017993066859,PVC
933,34.0,34.0,0.076,0.304,0.1424,0.088,0.0972666438199653,PVC,0.2860580433692244,0.7987955800575599,0.4648079974491712,0.3544105362920204,0.2083674907293459,PVC
934,35.0,35.0,0.112,0.396,0.2533333333333333,0.252,0.1420046947580724,PVC,-0.5228745493582171,2.0660394222807845,0.3794576438033715,-0.176560095165021,1.0519796013563951,PVC
935,36.0,36.0,0.7,1.6,1.075,1.0,0.3284161123592186,PVC,0.3027491414594209,0.7162079667864929,0.4468712941895286,0.3575476806019652,0.1680576568265791,PVC
936,37.0,37.0,0.7,1.5,1.0555555555555556,1.0,0.2185812841434,PVC,-0.2051458068451592,1.5123391802459418,0.3935105585633865,0.0264779859086852,0.6976729779232653,PVC
937,38.0,38.0,0.06,0.176,0.0986666666666666,0.06,0.0669726312259965,PVC,-0.0738578957194231,2.321035425717654,0.7608149956285779,0.2412933429857093,0.9736874550637612,PVC
938,39.0,39.0,0.7,1.4,1.0625,1.05,0.2199837656347784,PVC,0.9440583908409794,1.6923127679303016,1.2049021189800777,1.0424711559329942,0.3042219272156846,PVC
939,40.0,40.0,0.5,1.4,0.96,1.0,0.2547329756605707,PVC,0.8176653646916927,1.3311258897727234,0.9966826966537148,0.8862454721787648,0.2086508130106993,PVC
940,41.0,41.0,0.9,1.4,1.1125,1.1,0.1885091888628092,PVC,0.5718808193047965,1.196893770740734,0.7897603299068411,0.6545991411339243,0.2540632294482916,PVC
941,42.0,42.0,0.24,20.368,3.916,0.772,8.062640758461212,PVC,0.5185187806382494,1.0272738389742355,0.6958712507128656,0.5859360727408451,0.2067936085249845,PVC
942,43.0,43.0,0.188,0.452,0.2786666666666667,0.196,0.1501643544032116,PVC,0.4055080685025919,0.9423893420642876,0.5926697788225884,0.4766115495604504,0.2182320731099726,PVC
943,44.0,44.0,0.104,0.344,0.2586666666666666,0.328,0.1341839533376973,PVC,0.3615222451054249,0.8677558645740422,0.5379918578819064,0.4285940320075732,0.2057714976754448,PVC
944,45.0,45.0,0.7,1.6,1.125,1.05,0.276457178290909,PVC,0.3077525048991507,0.8368010269911267,0.4921755259014768,0.3780974245249055,0.2150181879632202,PVC
945,46.0,46.0,0.256,0.792,0.6272,0.776,0.2353278564046339,PVC,0.2970034935521225,0.8085616242135105,0.4753359584073221,0.3649428762320343,0.2079159941554883,PVC
946,47.0,47.0,0.5,1.5,0.8909090909090909,0.9,0.2879393875611513,PVC,0.7840799925442345,1.2320681892405043,0.9402771302916016,0.8438111858119183,0.1820537130167744,PVC
947,48.0,48.0,0.144,0.296,0.2319999999999999,0.256,0.0787908624143688,PVC,0.5388019822010389,1.1110861503571554,0.7383089431884304,0.6146376809878378,0.232616877495556,PVC
948,49.0,49.0,0.06,0.276,0.1448,0.152,0.0890572849350349,PVC,0.4990592581174126,0.9310956132397448,0.6496814131609032,0.5564145352783822,0.1755978335731463,PVC
949,50.0,50.0,0.8,1.4,1.0777777777777775,1.0,0.2333333333333333,PVC,0.3754874607485133,0.8734905625806026,0.5490913669666385,0.4415872158887125,0.2024115377550336,PVC
950,51.0,51.0,0.256,0.792,0.524,0.492,0.2287916082377148,PVC,0.2911856915734314,0.8818963786214149,0.4970839800111313,0.3695841359080898,0.2400941193476816,PVC
951,52.0,52.0,-31839.066,1.6,-4547.731714285714,0.7,12034.347257735497,PVC,0.3507100801378898,0.7682821768288671,0.4962632929180723,0.4060473632187572,0.1697303377021234,PVC
952,53.0,53.0,0.18,0.528,0.354,0.354,0.2460731598529185,PVC,0.308206442660386,0.6910585313136004,0.4416725521409702,0.359115576982375,0.1555991153159524,PVC
