,min,max,mean,med,std,label,Unnamed: 0,min,max,mean,med,std,label
179,-285.94157373657856,-115.1163153453244,-174.675499087507,-137.92488492763096,69.4158499583596,AF,179.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
180,-276.89043723253667,-99.5322685703226,-161.3593039913129,-122.99892108021083,72.09472374511283,AF,180.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
181,-278.153278422926,-87.79290288753155,-154.14509311414622,-113.17722618228724,77.36002675161777,AF,181.0,0.683,1.101,0.892,0.892,0.2955706345359768,AF
182,-501.06031228784,44.96657740780488,-145.35290340301415,-26.982047014172306,221.9876253387392,AF,182.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
183,-387.8501639161043,-183.4301148600537,-254.65967769323987,-210.5025151547632,83.09432934710651,AF,183.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
184,-313.5887511608231,-175.0070915213493,-223.31724675760415,-193.4701087451297,56.31964168820813,AF,184.0,0.264,0.524,0.394,0.394,0.1838477631085023,PVC
185,-295.8157226968898,-116.89880942624568,-179.2862967639251,-140.66412836003263,72.72059244593598,AF,185.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
186,-457.60113394265954,14.766986804492555,-149.8518848192834,-47.78233861521472,192.0149936190963,AF,186.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
187,-341.1362278164487,-263.8245246189378,-290.81147751800154,-274.1764927312205,31.550814558237697,AF,187.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
188,-241.0780896556067,-172.60934111202374,-217.2393760410856,-232.0950931800426,27.841340013379806,AF,188.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
189,-143.86719496284113,-113.53301300684365,-124.11921780407953,-117.62450198940294,12.32127283547606,AF,189.0,0.7,0.7,0.7,0.7,0.0,AF
190,-178.4180960264922,-42.93903692745562,-90.175157610337,-60.99884721907723,55.055514576870216,AF,190.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
191,-751.1870891806433,318.30275781965247,-54.44658929094269,176.74115761304114,434.7386768497811,N,191.0,0.184,0.232,0.2053333333333333,0.2,0.0244404037064311,PVC
192,-390.2992273627858,-345.10538319375763,-374.6121963791501,-383.5996109947421,18.308660186506074,AF,192.0,0.7,0.7,0.7,0.7,0.0,AF
193,-244.917676217827,-223.4720203987141,-237.43598762608772,-242.13693353683564,8.73310992604515,AF,193.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF
194,-165.00129707034176,-137.6101928041103,-147.1696914418472,-141.4097813693575,11.11700651705772,AF,194.0,0.6,0.6,0.6,0.6,0.0,AF
195,-188.114939531998,-58.81671254512288,-103.88965929453389,-76.0584849657487,52.54646746040388,AF,195.0,0.784,0.784,0.784,0.784,0.0,PVC
196,-742.6761557105142,307.9443937044661,-58.21296757464869,168.54596160931442,427.03762097686325,N,196.0,0.7,0.7,0.7,0.7,0.0,AF
197,-386.3012092704174,-348.8815658168608,-361.9884287118219,-354.2944893578533,15.349427505456353,AF,197.0,0.256,0.792,0.524,0.492,0.2287916082377148,PVC
198,-139.9496235663393,-132.8552925205087,-135.3405349321054,-133.8611146243047,2.8763105955951187,AF,198.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
199,-597.8735698114674,224.01299143290527,-62.37010235439924,113.39518949013303,333.8982670109284,N,199.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
200,-415.8042402515622,-207.30148495138985,-279.99037589215243,-234.29277966932048,84.9314323650934,AF,200.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF
201,-260.66984731314864,-182.169796063388,-233.3417655159201,-250.44501630961545,31.923392023861947,AF,201.0,0.208,0.42,0.284,0.224,0.1180508365069896,PVC
202,-157.3998973438006,-109.65681615487212,-126.3261116292063,-116.43998912781532,19.35803958967792,AF,202.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
203,-623.287436575589,215.73359229011868,-76.68276745897545,105.57146979591091,341.15048374508206,N,203.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
204,-374.0102304217952,-222.90639316155972,-321.40766482539584,-353.9677484505855,61.424379867454974,AF,204.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
205,-181.92283769174543,-145.8784561127027,-169.36936880993505,-177.10160818496223,14.645635891655886,AF,205.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
206,-528.4486079316226,156.786466109518,-81.99715150915438,64.28914305257179,278.34999884213767,N,206.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
207,-376.6147455236649,-195.97194474779425,-258.93702033053614,-219.3527480117776,73.58401744806963,AF,207.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
208,-225.14114172514223,-193.7505885898882,-214.2155631803128,-220.98521213666032,12.758525640694025,AF,208.0,0.7,1.0,0.85,0.85,0.2121320343559642,AF
209,-329.7863086301936,-283.52474884929893,-313.73458852017933,-322.48792262830614,18.702416915988422,AF,209.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
210,-240.18822408356368,-128.03034267275032,-201.1099163720558,-225.3987239201016,45.597396992682526,AF,210.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
