,Unnamed: 0,min,max,mean,med,std,label
721,721,-100.0,-100.0,-100.0,-100.0,-100.0,AF
722,722,-100.0,-100.0,-100.0,-100.0,-100.0,AF
723,723,0.7,0.8,0.75,0.75,0.0707106781186548,AF
724,724,-100.0,-100.0,-100.0,-100.0,-100.0,AF
725,725,-100.0,-100.0,-100.0,-100.0,-100.0,AF
726,726,0.6,0.8,0.7,0.7,0.1414213562373095,AF
727,727,-100.0,-100.0,-100.0,-100.0,-100.0,AF
728,728,-100.0,-100.0,-100.0,-100.0,-100.0,AF
729,729,-100.0,-100.0,-100.0,-100.0,-100.0,AF
730,730,-100.0,-100.0,-100.0,-100.0,-100.0,AF
731,731,0.7,0.8,0.75,0.75,0.0707106781186548,AF
732,732,0.6,0.6,0.6,0.6,0.0,AF
733,733,0.8,0.8,0.8,0.8,0.0,AF
734,734,-100.0,-100.0,-100.0,-100.0,-100.0,AF
735,735,-100.0,-100.0,-100.0,-100.0,-100.0,AF
736,736,0.6,0.8,0.7,0.7,0.1414213562373095,AF
737,737,0.8,1.0,0.9,0.9,0.1414213562373094,AF
738,738,0.7,1.0,0.85,0.85,0.2121320343559642,AF
739,739,-100.0,-100.0,-100.0,-100.0,-100.0,AF
740,740,0.7,0.8,0.75,0.75,0.0707106781186548,AF
741,741,0.946,0.954,0.95,0.95,0.0056568542494923,AF
742,742,-100.0,-100.0,-100.0,-100.0,-100.0,AF
743,743,-100.0,-100.0,-100.0,-100.0,-100.0,AF
744,744,0.7,0.9,0.8,0.8,0.1414213562373095,AF
745,745,-100.0,-100.0,-100.0,-100.0,-100.0,AF
746,746,-100.0,-100.0,-100.0,-100.0,-100.0,AF
747,747,0.7,0.8,0.75,0.75,0.0707106781186548,AF
748,748,0.8,1.0,0.9,0.9,0.1414213562373094,AF
749,749,-100.0,-100.0,-100.0,-100.0,-100.0,AF
750,750,-100.0,-100.0,-100.0,-100.0,-100.0,AF
751,751,0.7,0.7,0.7,0.7,0.0,AF
752,752,0.899,0.919,0.909,0.909,0.0141421356237309,AF
753,753,-100.0,-100.0,-100.0,-100.0,-100.0,AF
754,754,0.6,0.8,0.7,0.7,0.1414213562373095,AF
755,755,0.7,0.8,0.75,0.75,0.0707106781186548,AF
756,756,-100.0,-100.0,-100.0,-100.0,-100.0,AF
757,757,-100.0,-100.0,-100.0,-100.0,-100.0,AF
