,Unnamed: 0,min,max,mean,med,std,label
0,0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
1,1,0.7,0.7,0.7,0.7,0.0,AF
2,2,-100.0,-100.0,-100.0,-100.0,-100.0,AF
3,3,0.7,0.9,0.8,0.8,0.1414213562373095,AF
4,4,-100.0,-100.0,-100.0,-100.0,-100.0,AF
5,5,-100.0,-100.0,-100.0,-100.0,-100.0,AF
6,6,0.7,0.7,0.7,0.7,0.0,AF
7,7,-100.0,-100.0,-100.0,-100.0,-100.0,AF
8,8,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
9,9,0.6,0.8,0.7,0.7,0.1414213562373095,AF
10,10,-100.0,-100.0,-100.0,-100.0,-100.0,AF
11,11,-100.0,-100.0,-100.0,-100.0,-100.0,AF
12,12,0.851,0.965,0.908,0.908,0.0806101730552664,AF
13,13,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
14,14,-100.0,-100.0,-100.0,-100.0,-100.0,AF
15,15,0.7,0.7,0.7,0.7,0.0,AF
16,16,0.8,0.8,0.8,0.8,0.0,AF
17,17,-100.0,-100.0,-100.0,-100.0,-100.0,AF
18,18,-100.0,-100.0,-100.0,-100.0,-100.0,AF
19,19,-100.0,-100.0,-100.0,-100.0,-100.0,AF
20,20,0.7,0.8,0.75,0.75,0.0707106781186548,AF
21,21,0.6,0.8,0.7,0.7,0.1414213562373095,AF
22,22,-100.0,-100.0,-100.0,-100.0,-100.0,AF
23,23,-100.0,-100.0,-100.0,-100.0,-100.0,AF
24,24,-100.0,-100.0,-100.0,-100.0,-100.0,AF
25,25,-100.0,-100.0,-100.0,-100.0,-100.0,AF
26,26,-100.0,-100.0,-100.0,-100.0,-100.0,AF
27,27,0.7,0.7,0.7,0.7,0.0,AF
28,28,0.8,1.0,0.9,0.9,0.1414213562373094,AF
29,29,-100.0,-100.0,-100.0,-100.0,-100.0,AF
30,30,-100.0,-100.0,-100.0,-100.0,-100.0,AF
31,31,-100.0,-100.0,-100.0,-100.0,-100.0,AF
32,32,-100.0,-100.0,-100.0,-100.0,-100.0,AF
33,33,-100.0,-100.0,-100.0,-100.0,-100.0,AF
