,min,max,mean,med,std,label
83,0.6,1.1,0.89,0.9,0.1523883926754995,PVC
84,0.176,0.208,0.192,0.192,0.02262741699796952,PVC
85,0.7,1.2,0.8899999999999999,0.85,0.2078995483935024,PVC
86,0.8,1.4,1.0555555555555556,1.0,0.22973414586817034,PVC
87,0.208,0.548,0.378,0.378,0.2404163056034262,PVC
88,0.072,0.432,0.2853333333333333,0.352,0.18903262505010432,PVC
89,0.784,0.792,0.786,0.784,0.0040000000000000036,PVC
90,0.076,0.304,0.1424,0.088,0.09726664381996533,PVC
91,0.9,1.5,1.1375,1.1,0.2263846284534354,PVC
92,0.168,0.248,0.208,0.208,0.039999999999999994,PVC
93,0.6,1.2,0.8,0.7,0.22803508501982758,PVC
94,0.7,1.5,1.0555555555555556,1.0,0.21858128414340006,PVC
95,0.24,0.792,0.68,0.792,0.24599186978434878,PVC
96,0.448,0.824,0.6226666666666666,0.5760000000000001,0.15507761497607145,PVC
97,0.784,0.792,0.786,0.784,0.0040000000000000036,PVC
98,0.24,0.824,0.43,0.384,0.19863534428696217,PVC
99,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
100,0.18,0.54,0.36,0.36,0.25455844122715715,PVC
101,0.6,1.4,0.9199999999999999,0.95,0.27406406388125953,PVC
102,0.768,0.784,0.776,0.776,0.0065319726474218145,PVC
103,0.06,0.276,0.14479999999999998,0.152,0.08905728493503494,PVC
104,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
105,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
106,0.12,0.416,0.28933333333333333,0.332,0.15254289014350467,PVC
107,0.296,0.488,0.392,0.392,0.13576450198781712,PVC
108,0.256,0.792,0.6272,0.776,0.2353278564046339,PVC
109,0.16,0.276,0.20133333333333336,0.168,0.06478682993736716,PVC
110,0.2,0.528,0.364,0.364,0.2319310242291876,PVC
111,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
112,0.6,1.6,0.97,0.95,0.266874918683308,PVC
113,0.112,0.396,0.25333333333333335,0.252,0.14200469475807248,PVC
114,0.8,1.5,1.0444444444444445,1.0,0.25055493963954845,PVC
115,0.776,0.792,0.784,0.784,0.0065319726474218145,PVC
116,0.5,1.5,0.890909090909091,0.9,0.28793938756115134,PVC
117,0.7,1.4,1.0333333333333334,0.9,0.25,PVC
118,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
119,0.9,1.6,1.0555555555555556,1.0,0.22422706745122853,PVC
120,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
121,0.7,1.3,0.9099999999999999,0.8500000000000001,0.17919573407620817,PVC
122,0.088,0.584,0.2786666666666667,0.164,0.26714290807231494,PVC
123,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
124,0.188,0.532,0.36,0.36,0.24324473272817235,PVC
125,0.116,0.384,0.22533333333333336,0.176,0.14064612804245033,PVC
126,0.6,1.6,1.125,1.2000000000000002,0.3195979617313871,PVC
127,0.336,0.816,0.6319999999999999,0.672,0.19530488985173922,PVC
128,0.24,0.424,0.33199999999999996,0.33199999999999996,0.13010764773832473,PVC
