,Unnamed: 0,min,max,mean,med,std,label
637,637,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
638,638,-100.0,-100.0,-100.0,-100.0,-100.0,AF
639,639,-100.0,-100.0,-100.0,-100.0,-100.0,AF
640,640,-100.0,-100.0,-100.0,-100.0,-100.0,AF
641,641,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
642,642,0.6,0.8,0.7,0.7,0.1414213562373095,AF
643,643,-100.0,-100.0,-100.0,-100.0,-100.0,AF
644,644,0.7,0.8,0.75,0.75,0.0707106781186548,AF
645,645,0.8,0.9,0.8500000000000001,0.8500000000000001,0.0707106781186547,AF
646,646,0.6,0.8,0.7,0.7,0.1414213562373095,AF
647,647,0.6,0.6,0.6,0.6,0.0,AF
648,648,-100.0,-100.0,-100.0,-100.0,-100.0,AF
649,649,0.7,0.9,0.8,0.8,0.1414213562373095,AF
650,650,0.6,0.9,0.75,0.75,0.2121320343559642,AF
651,651,-100.0,-100.0,-100.0,-100.0,-100.0,AF
652,652,0.6,0.8,0.7,0.7,0.1414213562373095,AF
653,653,0.7,0.8,0.75,0.75,0.0707106781186548,AF
654,654,-100.0,-100.0,-100.0,-100.0,-100.0,AF
655,655,0.6,0.8,0.7,0.7,0.1414213562373095,AF
656,656,0.7,0.8,0.75,0.75,0.0707106781186548,AF
657,657,-100.0,-100.0,-100.0,-100.0,-100.0,AF
658,658,-100.0,-100.0,-100.0,-100.0,-100.0,AF
659,659,-100.0,-100.0,-100.0,-100.0,-100.0,AF
660,660,-100.0,-100.0,-100.0,-100.0,-100.0,AF
661,661,-100.0,-100.0,-100.0,-100.0,-100.0,AF
662,662,-100.0,-100.0,-100.0,-100.0,-100.0,AF
663,663,-100.0,-100.0,-100.0,-100.0,-100.0,AF
664,664,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
665,665,-100.0,-100.0,-100.0,-100.0,-100.0,AF
666,666,-100.0,-100.0,-100.0,-100.0,-100.0,AF
667,667,-100.0,-100.0,-100.0,-100.0,-100.0,AF
668,668,-100.0,-100.0,-100.0,-100.0,-100.0,AF
669,669,0.6,0.9,0.75,0.75,0.2121320343559642,AF
670,670,0.6,0.6,0.6,0.6,0.0,AF
671,671,0.7,0.8,0.75,0.75,0.0707106781186548,AF
672,672,0.7,0.9,0.8,0.8,0.1414213562373095,AF
673,673,-100.0,-100.0,-100.0,-100.0,-100.0,AF
674,674,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
675,675,-100.0,-100.0,-100.0,-100.0,-100.0,AF
676,676,-100.0,-100.0,-100.0,-100.0,-100.0,AF
677,677,-100.0,-100.0,-100.0,-100.0,-100.0,AF
678,678,0.818,1.016,0.917,0.917,0.1400071426749364,AF
679,679,-100.0,-100.0,-100.0,-100.0,-100.0,AF
680,680,0.7,0.8,0.75,0.75,0.0707106781186548,AF
681,681,-100.0,-100.0,-100.0,-100.0,-100.0,AF
682,682,0.7,0.7,0.7,0.7,0.0,AF
683,683,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
684,684,-100.0,-100.0,-100.0,-100.0,-100.0,AF
685,685,-100.0,-100.0,-100.0,-100.0,-100.0,AF
686,686,0.7,0.7,0.7,0.7,0.0,AF
687,687,-100.0,-100.0,-100.0,-100.0,-100.0,AF
688,688,-100.0,-100.0,-100.0,-100.0,-100.0,AF
689,689,-100.0,-100.0,-100.0,-100.0,-100.0,AF
690,690,-100.0,-100.0,-100.0,-100.0,-100.0,AF
691,691,-100.0,-100.0,-100.0,-100.0,-100.0,AF
692,692,-100.0,-100.0,-100.0,-100.0,-100.0,AF
693,693,-100.0,-100.0,-100.0,-100.0,-100.0,AF
694,694,-100.0,-100.0,-100.0,-100.0,-100.0,AF
695,695,-100.0,-100.0,-100.0,-100.0,-100.0,AF
696,696,-100.0,-100.0,-100.0,-100.0,-100.0,AF
697,697,-100.0,-100.0,-100.0,-100.0,-100.0,AF
698,698,-100.0,-100.0,-100.0,-100.0,-100.0,AF
699,699,-100.0,-100.0,-100.0,-100.0,-100.0,AF
700,700,0.833,0.967,0.8999999999999999,0.8999999999999999,0.0947523086789973,AF
701,701,-100.0,-100.0,-100.0,-100.0,-100.0,AF
702,702,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
703,703,0.7,0.7,0.7,0.7,0.0,AF
704,704,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
705,705,-100.0,-100.0,-100.0,-100.0,-100.0,AF
706,706,-100.0,-100.0,-100.0,-100.0,-100.0,AF
707,707,-100.0,-100.0,-100.0,-100.0,-100.0,AF
708,708,-100.0,-100.0,-100.0,-100.0,-100.0,AF
709,709,-100.0,-100.0,-100.0,-100.0,-100.0,AF
710,710,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
711,711,-100.0,-100.0,-100.0,-100.0,-100.0,AF
712,712,0.8,0.8,0.8,0.8,0.0,AF
713,713,-100.0,-100.0,-100.0,-100.0,-100.0,AF
714,714,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF
715,715,0.7,0.7,0.7,0.7,0.0,AF
716,716,0.6,0.8,0.7,0.7,0.1414213562373095,AF
717,717,-100.0,-100.0,-100.0,-100.0,-100.0,AF
718,718,-100.0,-100.0,-100.0,-100.0,-100.0,AF
719,719,-100.0,-100.0,-100.0,-100.0,-100.0,AF
720,720,-100.0,-100.0,-100.0,-100.0,-100.0,AF
