,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
58,58.0,58.0,0.7,0.7,0.7,0.7,0.0,AF,58,58,-7.4996258723987905,AF
59,59.0,59.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,59,59,-7.473447138576989,AF
60,60.0,60.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,60,60,-7.519073139872709,AF
61,61.0,61.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,61,61,,AF
62,62.0,62.0,0.7,0.7,0.7,0.7,0.0,AF,62,62,-6.652493827005809,AF
63,63.0,63.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,63,63,-6.8725929948124165,AF
64,64.0,64.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,64,64,-6.715418793192327,AF
65,65.0,65.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,65,65,-7.376602175176507,AF
66,66.0,66.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,66,66,-7.417135897166053,AF
67,67.0,67.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,67,67,-6.770206245906863,AF
68,68.0,68.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,68,68,-7.608002525399933,AF
69,69.0,69.0,0.7,0.8,0.75,0.75,0.0707106781186548,AF,69,69,-7.347628027238397,AF
70,70.0,70.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,70,70,-7.195329620859447,AF
71,71.0,71.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,71,71,-7.20691041331141,AF
72,72.0,72.0,0.7,0.7,0.7,0.7,0.0,AF,72,72,-6.412188249164623,AF
73,73.0,73.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,73,73,-6.567350581366616,AF
74,74.0,74.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,74,74,-6.955119803263895,AF
75,75.0,75.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,75,75,-6.896842474718729,AF
76,76.0,76.0,0.7,0.7,0.7,0.7,0.0,AF,76,76,-6.992815335959937,AF
77,77.0,77.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,77,77,-6.146530575784311,AF
78,78.0,78.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,78,78,-6.590976872373108,AF
79,79.0,79.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,79,79,-8.152537014878261,AF
