,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
53,53.0,0.7,0.7,0.7,0.7,0.0,AF,53,53,-7.804901989773,AF
54,54.0,0.731,1.0859999999999999,0.9085,0.9085,0.2510229073212244,AF,54,54,-6.6941443669251885,AF
55,55.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,55,55,-7.4105092902021905,AF
56,56.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,56,56,-7.877405425882447,AF
57,57.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,57,57,-7.503805265316252,AF
58,58.0,0.7,0.7,0.7,0.7,0.0,AF,58,58,-7.4996258723987905,AF
59,59.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,59,59,-7.4734471385769865,AF
60,60.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,60,60,-7.5190731398727095,AF
61,61.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,61,61,,AF
62,62.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,62,62,-6.6524938270058085,AF
63,63.0,0.7,0.9,0.8,0.8,0.14142135623730953,AF,63,63,-6.8725929948124165,AF
64,64.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,64,64,-6.715418793192327,AF
65,65.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,65,65,-7.376602175176507,AF
66,66.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,66,66,-7.417135897166053,AF
67,67.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,67,67,-6.770206245906862,AF
68,68.0,-100.0,-100.0,-100.0,-100.0,-100.0,N,68,68,-7.608002525399933,AF
69,69.0,0.2,0.516,0.358,0.358,0.22344574285494906,PVC,69,69,-7.347628027238398,AF
70,70.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,70,70,-7.195329620859448,AF
71,71.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,71,71,-7.20691041331141,AF
72,72.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,72,72,-6.412188249164622,AF
73,73.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,73,73,-6.567350581366616,AF
74,74.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,74,74,-6.9551198032638935,AF
75,75.0,0.7979999999999999,0.802,0.8,0.8,0.002828427124746193,N,75,75,-6.896842474718728,AF
76,76.0,0.6,1.0,0.8,0.8,0.28284271247461895,AF,76,76,-6.992815335959937,AF
77,77.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,77,77,-6.146530575784311,AF
78,78.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,78,78,-6.5909768723731075,AF
79,79.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,79,79,-8.152537014878263,AF
80,80.0,0.14400000000000002,0.29600000000000004,0.232,0.256,0.07879086241436882,PVC,80,80,-7.458017726380639,AF
81,81.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,81,81,-7.818106409676206,AF
82,82.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,82,82,-7.053088046983647,AF
83,83.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,83,83,-7.1475234316443705,AF
84,84.0,0.7,1.1,0.9,0.9,0.2828427124746191,AF,84,84,-7.048661377755718,AF
85,85.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,85,85,-6.615469845004983,AF
86,86.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,86,86,-7.987888660060987,AF
87,87.0,0.5,0.9,0.7,0.7,0.28284271247461895,AF,87,87,-7.102932024189353,AF
88,88.0,0.7,0.7,0.7,0.7,0.0,AF,88,88,-7.497457133397384,AF
89,89.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,89,89,-7.129004152036619,AF
90,90.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,90,90,-6.889601519053423,AF
91,91.0,0.06,0.276,0.1448,0.152,0.08905728493503494,PVC,91,91,-6.862134281688488,AF
92,92.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,92,92,-7.6603968125701165,AF
93,93.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,93,93,-7.505431852478415,AF
94,94.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,94,94,-7.150628565662661,AF
95,95.0,0.064,0.168,0.11199999999999999,0.10799999999999997,0.051845925587262885,PVC,95,95,-7.228336220443323,AF
96,96.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,96,96,-7.081278512381847,AF
97,97.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,97,97,-7.810505974111757,AF
98,98.0,0.7759999999999999,0.8,0.7879999999999999,0.7879999999999999,0.010327955589886455,PVC,98,98,-6.155735632056287,AF
99,99.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,99,99,-6.6117271772453154,AF
100,100.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,100,100,-6.200893703572308,AF
101,101.0,0.7,0.7,0.7,0.7,0.0,AF,101,101,-7.403383397742743,AF
102,102.0,0.6,0.9,0.75,0.75,0.21213203435596428,AF,102,102,-7.0519971098839065,AF
103,103.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,103,103,-7.634089692542631,AF
104,104.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,104,104,-6.13797246191883,AF
105,105.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,105,105,-7.121910165191059,AF
106,106.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,106,106,-6.949075220706103,AF
107,107.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,107,107,-6.698378555471885,AF
108,108.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,108,108,-6.828043585189952,AF
109,109.0,0.6,0.9,0.75,0.75,0.21213203435596428,AF,109,109,-6.5143351960488225,AF
110,110.0,0.064,0.17600000000000002,0.128,0.14400000000000002,0.05306599664568639,PVC,110,110,-6.6031552514954415,AF
111,111.0,0.336,0.816,0.632,0.672,0.1953048898517392,PVC,111,111,-7.112057571475012,AF
112,112.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,112,112,-7.063900948031776,AF
113,113.0,0.6,0.9,0.75,0.75,0.21213203435596428,AF,113,113,-5.791889799800477,AF
114,114.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,114,114,-7.109209963309429,AF
115,115.0,0.7,0.9,0.8,0.8,0.14142135623730953,AF,115,115,-7.1999697409349155,AF
116,116.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,116,116,-7.169060461554714,AF
117,117.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,117,117,-7.078080165399019,AF
118,118.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,118,118,-7.206164478984097,AF
119,119.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,119,119,-7.4749832980766655,AF
120,120.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,120,120,-5.725371155136644,AF
121,121.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,121,121,-7.273747523561988,AF
122,122.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,122,122,-7.831341034466845,AF
123,123.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,123,123,-7.423654756845955,AF
124,124.0,0.8,1.4,1.0555555555555556,1.0,0.22973414586817034,PVC,124,124,-7.445612572137869,AF
125,125.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,125,125,-7.015153408952579,AF
126,126.0,0.6,1.0,0.8,0.8,0.28284271247461895,AF,126,126,-7.28958717455277,AF
127,127.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,127,127,-6.664808237874294,AF
128,128.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,128,128,-8.066682410863043,AF
129,129.0,0.6,1.5,0.8727272727272728,0.8,0.26491851234260355,PVC,129,129,-6.946819960075987,AF
130,130.0,0.7,0.7,0.7,0.7,0.0,AF,130,130,-6.503302656262374,AF
131,131.0,0.78,0.815,0.7975,0.7975,0.02474873734152911,N,131,131,-6.699076264170933,AF
132,132.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,132,132,-7.041791722740379,AF
133,133.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,133,133,-6.864644402932153,AF
134,134.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,134,134,-6.558832871499552,AF
135,135.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,135,135,-6.317517159846082,AF
136,136.0,0.9,0.9,0.9,0.9,0.0,AF,136,136,-6.348880524988815,AF
137,137.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,137,137,-6.881737163025464,AF
138,138.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,138,138,-6.474319774864924,AF
139,139.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,139,139,-7.4019034587145915,AF
140,140.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,140,140,-7.36373486695848,AF
141,141.0,0.7,0.7,0.7,0.7,0.0,AF,141,141,-7.010688393930187,AF
