,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
957,58.0,58.0,0.7,1.4,1.0333333333333334,0.9,0.25,PVC,57,57,-9.190161248830233,PVC
958,59.0,59.0,0.7,1.2,0.89,0.85,0.2078995483935024,PVC,58,58,-8.391862624026977,PVC
959,60.0,60.0,0.9,1.6,1.0555555555555556,1.0,0.2242270674512285,PVC,59,59,-9.551808004627294,PVC
960,61.0,61.0,0.132,5091.1,1697.1533333333334,0.228,2939.244032814788,PVC,60,60,-9.798362691092311,PVC
961,62.0,62.0,0.268,0.56,0.414,0.414,0.2064751801064719,PVC,61,61,-9.024161146789222,PVC
962,63.0,63.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,62,62,-8.800950569712088,PVC
963,64.0,64.0,0.8,1.4,1.0555555555555556,1.0,0.2297341458681703,PVC,63,63,-8.735659744913189,PVC
964,65.0,65.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,64,64,-8.864291866942272,PVC
965,66.0,66.0,0.576,0.792,0.744,0.784,0.0939787209957658,PVC,65,65,-8.731263790640767,PVC
966,67.0,67.0,0.6,1.4,0.92,0.95,0.2740640638812595,PVC,66,66,-9.172793537019857,PVC
967,68.0,68.0,0.116,0.384,0.2253333333333333,0.176,0.1406461280424503,PVC,67,67,-9.015987096008136,PVC
968,69.0,69.0,0.16,0.276,0.2013333333333333,0.168,0.0647868299373671,PVC,68,68,-9.17306662420146,PVC
969,70.0,70.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,69,69,-9.260998912550289,PVC
970,71.0,71.0,0.168,0.248,0.208,0.208,0.0399999999999999,PVC,70,70,-10.35598316837726,PVC
971,72.0,72.0,0.9,1.5,1.1375,1.1,0.2263846284534354,PVC,71,71,-9.257711237793782,PVC
972,73.0,73.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,72,72,-9.359731252669944,PVC
973,74.0,74.0,0.6,1.2,0.87,0.8500000000000001,0.1888562063228706,PVC,73,73,-9.563035604084206,PVC
974,75.0,75.0,0.536,0.792,0.7344,0.784,0.1110531404328576,PVC,74,74,-10.124483942436274,PVC
975,76.0,76.0,0.228,0.26,0.2466666666666666,0.252,0.016653327995729,PVC,75,75,-8.154771580160393,PVC
976,77.0,77.0,0.208,0.548,0.378,0.378,0.2404163056034262,PVC,76,76,-10.090594603473452,PVC
977,78.0,78.0,0.092,0.432,0.212,0.112,0.1907878402833891,PVC,77,77,-8.715132481296775,PVC
978,79.0,79.0,0.6,1.6,1.0333333333333332,1.0,0.324037034920393,PVC,78,78,-9.500796413354449,PVC
979,80.0,80.0,0.072,0.472,0.2299999999999999,0.188,0.1711295805328036,PVC,79,79,-9.61505366080384,PVC
980,81.0,81.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,80,80,-8.993255947446135,PVC
981,82.0,82.0,0.152,0.288,0.216,0.212,0.0629920629920944,PVC,81,81,-10.305299944350516,PVC
982,83.0,83.0,0.176,0.208,0.192,0.192,0.0226274169979695,PVC,82,82,-9.466697536001131,PVC
983,84.0,84.0,0.784,0.784,0.784,0.784,0.0,PVC,83,83,-9.181058709495773,PVC
984,85.0,85.0,0.116,0.448,0.2866666666666667,0.296,0.1661966706445509,PVC,84,84,-8.259989907558793,PVC
985,86.0,86.0,0.768,0.784,0.776,0.776,0.0065319726474218,PVC,85,85,-9.944989856834072,PVC
986,87.0,87.0,0.06,0.344,0.181,0.16,0.1322371606874053,PVC,86,86,-9.285019845329582,PVC
987,88.0,88.0,0.24,0.784,0.648,0.772,0.2221639034586852,PVC,87,87,-8.600947618730954,PVC
988,89.0,89.0,0.36,0.792,0.6224,0.696,0.1932790728454584,PVC,88,88,-9.66329322784274,PVC
989,90.0,90.0,0.24,0.424,0.3319999999999999,0.3319999999999999,0.1301076477383247,PVC,89,89,-8.802281098942894,PVC
990,91.0,91.0,0.2,0.516,0.358,0.358,0.223445742854949,PVC,90,90,-9.34181616964732,PVC
991,92.0,92.0,0.06,0.308,0.204,0.2239999999999999,0.1046645435028819,PVC,91,91,-8.940759276157696,PVC
992,93.0,93.0,0.6,1.5,0.8727272727272728,0.8,0.2649185123426035,PVC,92,92,-9.680855450409457,PVC
