,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,se,label
57,57.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,436,-7.25984603990144,AF
58,58.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,437,-7.637322974706602,AF
59,59.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,438,-6.703978808942756,AF
60,60.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,439,-6.894380166755861,AF
61,61.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,440,-7.086830362514952,AF
62,62.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,441,-6.279828373705287,AF
63,63.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,442,-6.567333525215078,AF
64,64.0,0.7,0.7,0.7,0.7,0.0,AF,443,-7.4238367795450975,AF
65,65.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,444,-5.864825438826803,AF
66,66.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,445,-5.971187223256773,AF
67,67.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,446,-7.097678537481563,AF
68,68.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,447,-7.0835269849017894,AF
69,69.0,0.7,0.7,0.7,0.7,0.0,AF,448,-6.544061331851657,AF
70,70.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,449,-6.979324152112079,AF
71,71.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,450,-7.257335601687357,AF
72,72.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,451,-6.6480306796106365,AF
73,73.0,0.6,0.9,0.75,0.75,0.21213203435596428,AF,452,-6.8668244263153975,AF
74,74.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,453,-6.801401611189879,AF
75,75.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,454,-6.883086363722854,AF
76,76.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,455,-7.276422054365152,AF
77,77.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,456,-7.27318825492522,AF
78,78.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,457,-6.737841219754126,AF
79,79.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,458,-6.528136701599486,AF
80,80.0,0.7,1.0,0.85,0.85,0.21213203435596428,AF,459,-7.201951389773389,AF
81,81.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,460,-6.8156861278489576,AF
82,82.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,461,-6.554357407649017,AF
83,83.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,462,-6.669608186384716,AF
84,84.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,463,-6.250617784692667,AF
85,85.0,0.5,0.7,0.6,0.6,0.14142135623730948,AF,464,-7.540537578343278,AF
86,86.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,465,-6.716731018015376,AF
87,87.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,466,-7.030868464664222,AF
88,88.0,0.8,0.9,0.8500000000000001,0.8500000000000001,0.07071067811865474,AF,467,-7.699215633661571,AF
89,89.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,468,-5.837580353874278,AF
90,90.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,469,-7.322277279803712,AF
91,91.0,0.7,0.7,0.7,0.7,0.0,AF,470,,AF
92,92.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,471,-8.030783168081642,AF
93,93.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,472,-7.742727945327284,AF
94,94.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,473,-6.624785273445938,AF
95,95.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,474,-7.414348971971426,AF
96,96.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,475,-6.509670230476259,AF
97,97.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,476,-6.627873924699294,AF
98,98.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,477,-7.040586430179747,AF
99,99.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,478,-7.260820480386967,AF
100,100.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,479,-6.0705996188150015,AF
101,101.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,480,-7.618938004931778,AF
102,102.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,481,-5.763984338449537,AF
103,103.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,482,-6.2795234961797926,AF
104,104.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,483,-7.506446384216248,AF
105,105.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,484,,AF
106,106.0,0.7,0.7,0.7,0.7,0.0,AF,485,-6.176354398121519,AF
107,107.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,486,-7.013558102019153,AF
108,108.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,487,-5.770405479483077,AF
109,109.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,488,-8.007484593068586,AF
110,110.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,489,-7.771853383514657,AF
111,111.0,0.7,0.9,0.8,0.8,0.14142135623730953,AF,490,-7.77511178017694,AF
112,112.0,0.7,0.7,0.7,0.7,0.0,AF,491,-7.095349780332878,AF
113,113.0,0.7,0.7,0.7,0.7,0.0,AF,492,-7.747449990476348,AF
114,114.0,0.8,0.8,0.8,0.8,0.0,AF,493,-8.050270127486971,AF
115,115.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,494,-7.4154068838292595,AF
116,116.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,495,-7.846450371044687,AF
117,117.0,0.7,0.8,0.75,0.75,0.07071067811865482,AF,496,-7.907456920844142,AF
118,118.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,497,-7.795683408145338,AF
119,119.0,0.8,0.8,0.8,0.8,0.0,AF,498,-7.991451959270789,AF
120,120.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,499,-7.182517218966836,AF
121,121.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,500,-7.7376636471312095,AF
122,122.0,0.7,0.7,0.7,0.7,0.0,AF,501,-7.273711735686951,AF
123,123.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,502,-7.804176877173688,AF
124,124.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,503,-7.305378040184077,AF
125,125.0,0.7,0.7,0.7,0.7,0.0,AF,504,-6.846871383315286,AF
126,126.0,0.8,0.8,0.8,0.8,0.0,AF,505,-7.454383625751749,AF
127,127.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.07071067811865474,AF,506,-7.265327778193433,AF
128,128.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,507,-7.453884164560495,AF
129,129.0,0.6,0.8,0.7,0.7,0.14142135623730953,AF,508,-7.136114881134198,AF
