,Time,PLETH,II
0,00:37:28.700,-105,-22.27
1,00:37:28.700,-104,9.87
2,00:37:28.800,-102,-4.29
3,00:37:28.800,-101,-26.12
4,00:37:28.800,-100,-7.49
5,00:37:28.800,-98,2.98
6,00:37:28.800,-97,2.99
7,00:37:28.800,-97,-1.3
8,00:37:28.800,-96,-1.16
9,00:37:28.900,-96,1.42
10,00:37:28.900,-96,-0.19
11,00:37:28.900,-96,4.36
12,00:37:28.900,-96,8.64
13,00:37:28.900,-94,14.4
14,00:37:29.000,-94,15.22
15,00:37:29.000,-93,15.88
16,00:37:29.000,-94,16.53
17,00:37:29.000,-93,12.34
18,00:37:29.000,-94,-1.25
19,00:37:29.100,-94,-24.72
20,00:37:29.100,-94,-30.92
21,00:37:29.100,-92,-22.88
22,00:37:29.100,-91,-15.4
23,00:37:29.100,-92,-6.62
24,00:37:29.200,-93,12.09
25,00:37:29.200,-93,7.05
26,00:37:29.200,-94,-28.64
27,00:37:29.200,-94,-12.84
28,00:37:29.200,-93,-3.09
29,00:37:29.300,-92,0.1
30,00:37:29.300,-92,1.51
31,00:37:29.300,-91,7.86
32,00:37:29.300,-88,13.99
33,00:37:29.300,-87,15.58
34,00:37:29.400,-89,15.75
35,00:37:29.400,-94,14.63
36,00:37:29.400,-105,15.9
37,00:37:29.400,-117,17.99
38,00:37:29.500,-130,18.33
39,00:37:29.500,-140,15.82
40,00:37:29.500,-148,9.03
41,00:37:29.500,-152,0.43
42,00:37:29.500,-153,-5.01
43,00:37:29.600,-150,-3.42
44,00:37:29.600,-147,-2.43
45,00:37:29.600,-139,-1.62
46,00:37:29.600,-132,-1.73
47,00:37:29.600,-128,1.25
48,00:37:29.700,-126,4.29
49,00:37:29.700,-122,6.54
50,00:37:29.700,-121,6.72
51,00:37:29.700,-120,8.51
52,00:37:29.700,-117,14.38
53,00:37:29.800,-112,34.62
54,00:37:29.800,-110,9.18
55,00:37:29.800,-106,-0.9
56,00:37:29.800,-103,9.91
57,00:37:29.800,-100,9.33
58,00:37:29.800,-97,16.14
59,00:37:29.900,-94,37.43
60,00:37:29.900,-91,57.45
61,00:37:29.900,-89,50.53
62,00:37:29.900,-86,27.9
63,00:37:30.000,-89,3.54
64,00:37:30.000,-96,-3.71
65,00:37:30.000,-107,-7.47
66,00:37:30.000,-117,-9.71
67,00:37:30.000,-127,-16.51
68,00:37:30.000,-134,-29.32
69,00:37:30.100,-138,-40.7
70,00:37:30.100,-140,-41.53
71,00:37:30.100,-138,-39.63
72,00:37:30.100,-138,-32.95
73,00:37:30.100,-135,-25.3
74,00:37:30.200,-129,-15.6
75,00:37:30.200,-124,1.09
76,00:37:30.200,-118,-16.34
77,00:37:30.200,-114,-23.9
78,00:37:30.300,-110,-10.88
79,00:37:30.300,-108,-9.0
80,00:37:30.300,-106,-8.08
81,00:37:30.300,-105,0.45
82,00:37:30.300,-104,10.05
83,00:37:30.300,-103,10.62
84,00:37:30.400,-99,11.57
85,00:37:30.400,-97,17.31
86,00:37:30.400,-93,24.76
87,00:37:30.400,-94,29.29
88,00:37:30.500,-97,30.65
89,00:37:30.500,-101,24.17
90,00:37:30.500,-107,14.92
91,00:37:30.500,-110,2.01
92,00:37:30.500,-110,-7.14
93,00:37:30.500,-109,-7.05
94,00:37:30.600,-105,-3.97
95,00:37:30.600,-101,0.1
96,00:37:30.600,-98,2.75
97,00:37:30.600,-98,4.94
98,00:37:30.700,-97,5.35
99,00:37:30.700,-96,7.05
100,00:37:30.700,-96,7.99
101,00:37:30.700,-96,7.7
102,00:37:30.700,-97,5.83
103,00:37:30.700,-97,2.26
104,00:37:30.800,-95,-0.22
105,00:37:30.800,-96,3.39
106,00:37:30.800,-95,-1.5
107,00:37:30.800,-93,-4.14
108,00:37:30.800,-93,-1.1
109,00:37:30.900,-92,2.74
110,00:37:30.900,-89,3.3
111,00:37:30.900,-90,4.54
112,00:37:30.900,-89,12.54
113,00:37:30.900,-89,10.15
114,00:37:31.000,-90,-9.44
115,00:37:31.000,-91,10.62
116,00:37:31.000,-92,22.58
117,00:37:31.000,-92,24.17
118,00:37:31.000,-93,20.05
119,00:37:31.100,-94,14.01
120,00:37:31.100,-95,3.16
121,00:37:31.100,-97,-15.4
122,00:37:31.100,-106,-29.36
123,00:37:31.200,-117,-18.94
124,00:37:31.200,-131,0.62
125,00:37:31.200,-145,23.98
126,00:37:31.200,-157,38.31
127,00:37:31.200,-165,38.1
128,00:37:31.200,-173,30.6
129,00:37:31.300,-176,17.9
130,00:37:31.300,-178,1.87
131,00:37:31.300,-177,-2.88
132,00:37:31.300,-172,-2.41
133,00:37:31.300,-165,-2.63
134,00:37:31.400,-156,-4.98
135,00:37:31.400,-148,-0.56
136,00:37:31.400,-144,4.96
137,00:37:31.400,-138,9.96
138,00:37:31.400,-135,12.47
139,00:37:31.500,-131,19.13
140,00:37:31.500,-126,6.52
141,00:37:31.500,-122,-27.78
142,00:37:31.500,-118,-7.08
143,00:37:31.500,-114,-1.83
144,00:37:31.600,-109,4.78
145,00:37:31.600,-105,11.5
146,00:37:31.600,-100,18.92
147,00:37:31.600,-98,20.09
148,00:37:31.600,-96,19.65
149,00:37:31.700,-92,19.14
150,00:37:31.700,-90,19.1
151,00:37:31.700,-91,19.08
152,00:37:31.700,-94,19.24
153,00:37:31.700,-99,18.07
154,00:37:31.800,-106,12.61
155,00:37:31.800,-112,1.95
156,00:37:31.800,-117,-10.62
157,00:37:31.800,-120,-20.61
158,00:37:31.800,-119,-23.97
159,00:37:31.900,-119,-21.54
160,00:37:31.900,-115,-16.24
161,00:37:31.900,-111,-1.97
162,00:37:31.900,-106,13.77
163,00:37:31.900,-102,32.58
164,00:37:31.900,-100,14.88
165,00:37:32.000,-100,4.27
166,00:37:32.000,-99,2.82
167,00:37:32.000,-99,2.9
168,00:37:32.000,-98,2.62
169,00:37:32.100,-96,-1.32
170,00:37:32.100,-95,-11.79
