,min,max,mean,med,std,label
0,0.7,1.5,0.97,0.95,0.2359378449224852,PVC
1,0.6,1.2,0.9,0.9,0.1632993161855452,PVC
2,0.8,1.5,1.125,1.05,0.24928469095164493,PVC
3,0.8,1.4,1.125,1.1,0.18322507626258083,PVC
4,0.6,1.1,0.8818181818181818,0.9,0.17215215257545763,PVC
5,0.6,1.0,0.8454545454545455,0.9,0.15075567228888181,PVC
6,0.9,1.6,1.0444444444444445,1.0,0.21858128414340006,PVC
7,0.8,1.2,0.9666666666666667,0.9,0.1224744871391589,PVC
8,0.7,1.4,0.9666666666666667,0.9,0.21213203435596423,PVC
9,0.6,1.4,1.011111111111111,0.9,0.2803767306876787,PVC
10,0.6,1.2,0.94,1.0,0.2065591117977289,PVC
11,0.6,1.2,0.91,0.9,0.19119507199599983,PVC
12,0.6,1.6,1.0333333333333334,1.0,0.33541019662496846,PVC
13,0.6,1.4,0.93,0.95,0.23593784492248518,PVC
14,0.6,1.5,1.1624999999999999,1.2,0.2924648941081891,PVC
15,0.7,1.5,0.9888888888888889,0.9,0.26193722742502856,PVC
16,0.7,1.4,0.9555555555555556,0.9,0.21278575558006174,PVC
17,0.7,1.6,1.0222222222222221,0.9,0.27738861628488737,PVC
18,0.8,1.3,1.0222222222222221,1.0,0.17159383568311667,PVC
19,-3599.1,1.4,-398.93333333333334,1.1,1200.0625160798916,PVC
20,0.6,1.3,0.94,0.95,0.2503331114069145,PVC
21,0.9,1.1,1.011111111111111,1.0,0.07817359599705719,PVC
22,0.7,1.4,0.95,0.8500000000000001,0.24608038433722335,PVC
23,0.8,1.4,1.0333333333333334,1.0,0.18708286933869703,PVC
24,0.6,1.1,0.8272727272727273,0.8,0.17939291563999452,PVC
25,0.9,1.6,1.125,1.05,0.26049403612586386,PVC
26,0.7,1.4,1.125,1.1,0.21876275473019363,PVC
27,0.6,1.6,0.9777777777777777,1.0,0.36324157862838946,PVC
28,0.7,1.5,1.1,1.1,0.28784916685156975,PVC
29,0.7,1.5,1.0,1.0,0.25,PVC
30,0.6,1.6,0.89,0.8500000000000001,0.3178049716414141,PVC
31,0.7,1.3,0.93,0.9,0.2359378449224852,PVC
32,0.7,1.3,0.85,0.8,0.20138409955990957,PVC
33,0.6,1.5,0.98,1.0,0.3293090409394258,PVC
34,0.9,1.5,1.1875,1.2,0.23566016694748027,PVC
