,min,max,mean,med,std,label
0,-100.0,-100.0,-100.0,-100.0,-100.0,AF
1,0.833,1.033,0.9329999999999999,0.9329999999999999,0.14142135623730948,AF
2,-100.0,-100.0,-100.0,-100.0,-100.0,AF
3,-100.0,-100.0,-100.0,-100.0,-100.0,AF
4,-100.0,-100.0,-100.0,-100.0,-100.0,AF
5,-100.0,-100.0,-100.0,-100.0,-100.0,AF
6,-100.0,-100.0,-100.0,-100.0,-100.0,AF
7,0.816,0.932,0.874,0.874,0.08202438661763958,AF
8,-100.0,-100.0,-100.0,-100.0,-100.0,AF
9,0.817,1.017,0.9169999999999999,0.9169999999999999,0.14142135623730948,AF
10,-100.0,-100.0,-100.0,-100.0,-100.0,AF
11,-100.0,-100.0,-100.0,-100.0,-100.0,AF
12,-100.0,-100.0,-100.0,-100.0,-100.0,AF
13,-100.0,-100.0,-100.0,-100.0,-100.0,AF
14,-100.0,-100.0,-100.0,-100.0,-100.0,AF
15,-100.0,-100.0,-100.0,-100.0,-100.0,AF
16,-100.0,-100.0,-100.0,-100.0,-100.0,AF
17,-100.0,-100.0,-100.0,-100.0,-100.0,AF
18,-100.0,-100.0,-100.0,-100.0,-100.0,AF
19,-100.0,-100.0,-100.0,-100.0,-100.0,AF
20,-100.0,-100.0,-100.0,-100.0,-100.0,AF
21,-100.0,-100.0,-100.0,-100.0,-100.0,AF
22,-100.0,-100.0,-100.0,-100.0,-100.0,AF
23,-100.0,-100.0,-100.0,-100.0,-100.0,AF
24,-100.0,-100.0,-100.0,-100.0,-100.0,AF
25,-100.0,-100.0,-100.0,-100.0,-100.0,AF
26,-100.0,-100.0,-100.0,-100.0,-100.0,AF
27,0.819,0.899,0.859,0.859,0.05656854249492385,AF
28,0.797,1.003,0.8999999999999999,0.8999999999999999,0.14566399692442866,AF
29,-100.0,-100.0,-100.0,-100.0,-100.0,AF
30,-100.0,-100.0,-100.0,-100.0,-100.0,AF
31,-100.0,-100.0,-100.0,-100.0,-100.0,AF
32,-100.0,-100.0,-100.0,-100.0,-100.0,AF
33,-100.0,-100.0,-100.0,-100.0,-100.0,AF
34,-100.0,-100.0,-100.0,-100.0,-100.0,AF
35,0.899,0.919,0.909,0.909,0.014142135623730963,AF
36,-100.0,-100.0,-100.0,-100.0,-100.0,AF
37,0.902,0.914,0.908,0.908,0.008485281374238578,AF
38,-100.0,-100.0,-100.0,-100.0,-100.0,AF
39,-100.0,-100.0,-100.0,-100.0,-100.0,AF
40,-100.0,-100.0,-100.0,-100.0,-100.0,AF
