,min,max,mean,med,std,label
0,0.08,0.24,0.1744,0.176,0.06606663303060026,PVC
1,0.14,0.416,0.31733333333333336,0.396,0.1539004006925691,PVC
2,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
3,0.072,0.204,0.13799999999999998,0.13799999999999998,0.09333809511662428,PVC
4,0.064,0.256,0.162,0.164,0.07848566748139434,PVC
5,0.072,0.284,0.1973333333333333,0.236,0.1111635431845051,PVC
6,0.06,0.48,0.20099999999999998,0.132,0.198,PVC
7,0.144,0.448,0.296,0.296,0.21496046148071046,PVC
8,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
9,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
10,0.096,0.344,0.2053333333333333,0.176,0.1265754057205954,PVC
11,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
12,0.22,0.432,0.326,0.326,0.14990663761154807,PVC
13,0.064,0.232,0.1352,0.144,0.0695356023918683,PVC
14,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
15,0.188,0.332,0.24266666666666667,0.208,0.07800854654032041,PVC
16,0.26,0.444,0.352,0.352,0.13010764773832473,PVC
17,0.104,0.232,0.168,0.168,0.0905096679918781,PVC
18,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
19,0.088,0.216,0.162,0.172,0.06445670381478304,PVC
20,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
21,-100.0,-100.0,-100.0,-100.0,-100.0,PVC
22,0.432,0.48,0.45599999999999996,0.45599999999999996,0.03394112549695427,PVC
23,0.2,0.228,0.21400000000000002,0.21400000000000002,0.019798989873223326,PVC
24,0.06,0.444,0.248,0.24,0.19212495933636525,PVC
25,0.116,0.22,0.168,0.168,0.07353910524340095,PVC
26,0.064,0.204,0.148,0.176,0.07408103670980853,PVC
27,0.152,0.332,0.242,0.242,0.12727922061357858,PVC
28,0.152,0.288,0.22133333333333333,0.224,0.06803920438492306,PVC
29,0.252,0.524,0.388,0.388,0.19233304448274094,PVC
30,0.196,0.296,0.246,0.246,0.07071067811865474,PVC
31,0.208,0.336,0.264,0.248,0.06548282217497961,PVC
32,0.264,0.304,0.28400000000000003,0.28400000000000003,0.028284271247461888,PVC
33,0.228,0.48,0.354,0.354,0.17819090885900996,PVC
34,0.24,0.328,0.28400000000000003,0.28400000000000003,0.0622253967444162,PVC
