,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
899,0.0,-0.4629178941821041,-0.0440490028629179,-0.1900667431585651,-0.0999123952250471,0.1702243772988803,PVC,0.0,0.0,0.7,1.3,1.0444444444444445,1.1,0.1810463415200036,PVC,899,899,-6.977990201699488,AF
900,1.0,-0.668917820028633,0.0063598559192723,-0.2290862653988837,-0.0821218787943385,0.2745686618551163,PVC,1.0,1.0,0.072,0.236,0.154,0.154,0.1159655121145937,PVC,0,0,-12.390352911829597,PVC
901,2.0,-0.6890188982976139,-0.1679260169182929,-0.3495708233183421,-0.2371764261251522,0.2117902891515281,PVC,2.0,2.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,1,1,-12.385824493491716,PVC
902,3.0,-0.7767387762218798,-0.153705125402323,-0.3708939092790348,-0.235943174007774,0.2532718031817184,PVC,3.0,3.0,0.188,0.532,0.36,0.36,0.2432447327281723,PVC,2,2,-12.273127788898018,PVC
903,4.0,-0.8374888090851595,-0.2338753983491632,-0.4443027057990425,-0.3144032949113486,0.2452902441420061,PVC,4.0,4.0,0.156,0.424,0.2826666666666667,0.268,0.1346006438815704,PVC,3,3,-12.38442747626707,PVC
904,5.0,-0.931488995503911,-0.2013890958662833,-0.4558577738094723,-0.2980381944213984,0.2967706419824941,PVC,5.0,5.0,0.776,0.8,0.788,0.788,0.0103279555898864,PVC,4,4,-12.317186337973936,PVC
905,6.0,-1.0014462927148726,-0.2200323373950327,-0.4924236007601503,-0.3239531833371332,0.3175866384900429,PVC,6.0,6.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,5,5,-12.32000064190785,PVC
906,7.0,-1.0236891204362308,-0.2844774462652425,-0.5421793688034421,-0.3822237981276171,0.3004843654247558,PVC,7.0,7.0,0.072,0.432,0.2853333333333333,0.352,0.1890326250501043,PVC,6,6,-12.308376297154435,PVC
907,8.0,-1.1026362302231345,-0.3035877526800606,-0.5821242235879864,-0.4097570101505749,0.3247609286039844,PVC,8.0,8.0,0.072,0.224,0.1169999999999999,0.086,0.0721017799133049,PVC,7,7,-12.390896174810146,PVC
908,9.0,-1.0438975177499104,-0.3806807333634381,-0.6118341800776057,-0.4689703778570717,0.2695401755197651,PVC,9.0,9.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,8,8,-12.305636631203752,PVC
909,10.0,-0.7423466686753502,-0.5262338149739281,-0.6015499469036214,-0.554272991207107,0.0878925169211261,PVC,10.0,10.0,0.776,0.784,0.782,0.784,0.004,PVC,9,9,-12.377221347457386,PVC
910,11.0,-0.4854771465509024,1.4835484333867417,0.2009686881155703,-0.2215057656323953,0.8000697494908374,PVC,11.0,11.0,0.776,0.792,0.784,0.784,0.0065319726474218,PVC,10,10,-12.328582087303438,PVC
911,12.0,-0.1024530971824752,2.0551087137669493,0.6495070662983597,0.1816736369499796,0.8771372683933684,PVC,12.0,12.0,0.6,1.3,0.95,0.95,0.2173067468400883,PVC,11,11,-12.342654483248614,PVC
912,13.0,0.3266488074569101,2.5237777111643283,1.0925182694265447,0.6186138231618613,0.89301353434945,PVC,13.0,13.0,0.152,0.28,0.216,0.216,0.0905096679918781,PVC,12,12,-12.380158654044608,PVC
913,14.0,0.5917653848007111,2.7007399141492927,1.3268682407139858,0.8707508204669878,0.8572725712525118,PVC,14.0,14.0,0.24,0.792,0.68,0.792,0.2459918697843487,PVC,13,13,-12.388925154628293,PVC
914,15.0,0.8154618131971183,2.7354050178035303,1.4847170733985144,1.070331738205912,0.7803542344265455,PVC,15.0,15.0,0.2,0.528,0.364,0.364,0.2319310242291876,PVC,14,14,-12.195107367671111,PVC
915,16.0,0.9395629517251364,2.6171594822773288,1.524385331360206,1.1621852008471456,0.6818605713684434,PVC,16.0,16.0,0.6,1.2,0.7999999999999999,0.7,0.2280350850198275,PVC,15,15,-12.315786164608864,PVC
916,17.0,0.9627898413008896,2.3909112751601658,1.4605839287524216,1.1516815634478816,0.5805176394173704,PVC,17.0,17.0,0.6,1.5,0.9555555555555556,0.9,0.2403700850309326,PVC,16,16,-12.331856934283524,PVC
917,18.0,1.0067694767801254,2.0842992132880123,1.3824291747775397,1.1505968564737945,0.4378890346317618,PVC,18.0,18.0,-100.0,-100.0,-100.0,-100.0,-100.0,PVC,17,17,-12.31036826189102,PVC
918,19.0,0.984243550902568,1.5357150327863067,1.1764070517083072,1.0555340688500612,0.2243334959718832,PVC,19.0,19.0,0.096,0.228,0.1426666666666666,0.104,0.0740090084606822,PVC,18,18,-12.394342186683064,PVC
919,20.0,0.8860735686939263,1.0900654186281156,0.957390412745632,0.9139227565867072,0.0828450584551107,PVC,20.0,20.0,0.7,1.7,1.0666666666666669,0.9,0.3201562118716424,PVC,19,19,-12.241770008609418,PVC
920,21.0,0.6225657256785062,0.6675048264890732,0.651819034544918,0.6606203813716147,0.0182020114058018,PVC,21.0,21.0,0.264,0.524,0.394,0.394,0.1838477631085023,PVC,20,20,-12.324028237888536,PVC
