,Unnamed: 0,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,min,max,mean,med,std,label,Unnamed: 0,Unnamed: 0.1,se,label
0,0.0,-341.1362278164487,-263.8245246189378,-290.81147751800154,-274.1764927312205,31.550814558237697,AF,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,0,0,-5.685010660017573,AF
1,1.0,-241.0780896556067,-172.60934111202374,-217.2393760410856,-232.0950931800426,27.841340013379806,AF,1.0,1.0,0.7,0.7,0.7,0.7,0.0,AF,1,1,-6.847205641356976,AF
2,2.0,-143.86719496284113,-113.53301300684365,-124.11921780407953,-117.62450198940294,12.32127283547606,AF,2.0,2.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,2,2,-7.752456852135555,AF
3,3.0,-178.4180960264922,-42.93903692745562,-90.175157610337,-60.99884721907723,55.055514576870216,AF,3.0,3.0,0.7,0.9,0.8,0.8,0.1414213562373095,AF,3,3,,AF
4,4.0,-751.1870891806433,318.30275781965247,-54.44658929094269,176.74115761304114,434.7386768497811,N,4.0,4.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,4,4,-7.2180542534745635,AF
5,5.0,-390.2992273627858,-345.10538319375763,-374.6121963791501,-383.5996109947421,18.308660186506074,AF,5.0,5.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,5,5,-7.510898366962352,AF
6,6.0,-244.917676217827,-223.4720203987141,-237.43598762608767,-242.13693353683564,8.73310992604515,AF,6.0,6.0,0.7,0.7,0.7,0.7,0.0,AF,6,6,-6.870501448124935,AF
7,7.0,-165.00129707034176,-137.6101928041103,-147.1696914418472,-141.4097813693575,11.11700651705772,AF,7.0,7.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,7,7,-7.422121023517405,AF
8,8.0,-188.114939531998,-58.81671254512288,-103.88965929453389,-76.0584849657487,52.54646746040388,AF,8.0,8.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,8,8,-6.006432945633333,AF
9,9.0,-742.6761557105142,307.9443937044661,-58.21296757464869,168.54596160931442,427.03762097686325,N,9.0,9.0,0.6,0.8,0.7,0.7,0.1414213562373095,AF,9,9,-6.778067256865575,AF
10,10.0,-386.3012092704174,-348.8815658168608,-361.9884287118219,-354.2944893578533,15.349427505456353,AF,10.0,10.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,10,10,-7.848880768687175,AF
11,11.0,-139.9496235663393,-132.8552925205087,-135.3405349321054,-133.8611146243047,2.8763105955951187,AF,11.0,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,11,11,-6.9823675592572485,AF
12,12.0,-597.8735698114674,224.01299143290527,-62.37010235439924,113.39518949013303,333.8982670109284,N,12.0,12.0,0.851,0.965,0.908,0.908,0.0806101730552664,AF,12,12,-7.3162090600333505,AF
13,13.0,-415.8042402515622,-207.30148495138985,-279.99037589215243,-234.29277966932048,84.9314323650934,AF,13.0,13.0,0.6,0.7,0.6499999999999999,0.6499999999999999,0.0707106781186547,AF,13,13,-7.711698019859595,AF
14,14.0,-260.66984731314864,-182.169796063388,-233.3417655159201,-250.44501630961545,31.923392023861947,AF,14.0,14.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,14,14,-7.291880877068767,AF
15,15.0,-157.3998973438006,-109.65681615487212,-126.3261116292063,-116.43998912781532,19.35803958967792,AF,15.0,15.0,0.7,0.7,0.7,0.7,0.0,AF,15,15,-7.444327723472,AF
16,16.0,-623.287436575589,215.73359229011868,-76.68276745897545,105.57146979591091,341.15048374508206,N,16.0,16.0,0.8,0.8,0.8,0.8,0.0,AF,16,16,-6.782955135070246,AF
17,17.0,-374.0102304217952,-222.9063931615597,-321.40766482539584,-353.9677484505855,61.424379867454974,AF,17.0,17.0,-100.0,-100.0,-100.0,-100.0,-100.0,AF,17,17,-6.725432695891269,AF
