,MIN,MAX,AMP,MED,SUM,STD,VAR,SKW,KURT,SE,LABEL,CLASS
0,0.248,0.755,0.429863,0.3775,429.863,0.1570570824832747,0.02466692715815816,0.6451683169898178,-0.9552941425730705,-13.332193646014346,PVC,2
1,0.25,0.7609999999999999,0.4261890000000001,0.37,426.1890000000001,0.150871864834364,0.022762319598598597,0.7682540177209387,-0.7386737833019863,-13.352420742587196,PVC,2
2,0.24,0.815,0.41307699999999997,0.361,413.077,0.15107383086879533,0.022823302373373374,0.8709329813401574,-0.39215735616924885,-13.320356045138519,PVC,2
3,0.237,0.813,0.41962099999999997,0.374,419.621,0.13903905644896408,0.019331859218218218,0.767904571273086,-0.5103783437291032,-13.404735239182287,PVC,2
4,0.247,0.753,0.429348,0.379,429.348,0.14870501699027533,0.022113182078078077,0.6807267414090572,-0.8529936371921902,-13.374112840761423,PVC,2
5,0.233,0.745,0.420031,0.3670000000000001,420.031,0.1536634846198195,0.023612466505505504,0.6991067123349228,-0.8482425516884962,-13.328378595750936,PVC,2
6,0.226,0.755,0.43201300000000004,0.3895,432.01300000000003,0.15473081935237548,0.023941626457457458,0.6096150013050547,-0.9232734909816784,-13.350898531207257,PVC,2
7,0.245,0.7659999999999999,0.42648899999999995,0.374,426.489,0.15266625319258956,0.02330698486386386,0.7363257898096245,-0.7674094739168704,-13.34488591618982,PVC,2
8,0.245,0.809,0.411218,0.354,411.21799999999996,0.15260588793697652,0.023288557033033033,0.8450678937028235,-0.5363494342228536,-13.308435003459461,PVC,2
9,0.238,0.8079999999999999,0.415641,0.36850000000000005,415.64099999999996,0.14548700487530694,0.021166468587587587,0.7872755014124531,-0.5423415872028334,-13.361267313020797,PVC,2
10,0.253,0.725,0.40923699999999996,0.3655,409.23699999999997,0.12343353137485644,0.015235836667667669,0.8597061309354024,-0.369908556431521,-13.466479935587849,PVC,2
