,MIN,MAX,AMP,MED,SUM,STD,VAR,SKW,KURT,SE,LABEL,CLASS
0,-93.89,133.87,2.7193,3.625,2719.3,25.783030034263774,664.7646377477478,0.09696436709686815,2.265383376335948,-11.67438441822538,AF,1
1,-78.52,94.11,2.5195299999999996,1.61,2519.5299999999997,21.712345977506597,471.42596784694695,0.3942975129691143,2.369550221137658,-11.498514973431709,AF,1
2,-62.48,104.98,2.0821199999999993,1.4449999999999998,2082.1199999999994,21.497080475603532,462.1244689745746,0.4946655560666701,2.4905135935073046,-11.592146603836477,AF,1
3,-100.16,119.37,3.03958,3.1399999999999997,3039.58,30.63110304735201,938.2644738974975,-0.1594975830662252,0.7954386838799823,-12.036123049311904,AF,1
4,-65.41,85.65,2.12195,1.6099999999999999,2121.95,20.6818614416157,427.7393926901902,0.25668614891988023,1.2132491111028587,-11.866152935314561,AF,1
5,-63.65,150.1,2.7600700000000002,3.115,2760.07,22.85610505824502,522.4015384335336,1.022272788962375,4.816795230192453,-11.300004533109842,AF,1
6,-50.05,107.24,2.0877,1.185,2087.7,18.531214585774567,343.405914024024,1.0900049803974567,3.9617659864307173,-11.229017217189629,AF,1
7,-78.5,113.41,2.28315,4.005,2283.15,21.855226736714794,477.6509357132132,0.2248836029363817,2.1355830720767246,-11.61247249160369,AF,1
8,-63.56,99.13,1.87483,2.325,1874.83,20.373595897162602,415.08340978088086,0.6162425382784171,3.234464885480665,-11.301921226988776,AF,1
9,-53.44,99.7,2.64212,1.745,2642.12,19.903577992977105,396.1524169225225,0.6164380122832528,2.3383743359690214,-11.525046386601366,AF,1
10,-59.77,87.79,2.36896,2.1100000000000003,2368.96,19.965107749417378,398.60552744584584,0.5037367992215653,2.643760155548847,-11.45126323435182,AF,1
11,-67.99,107.18,2.3779,2.66,2377.9,21.340970751646296,455.4370326226226,0.18768911849434616,2.0782759703890816,,AF,1
12,-450.18,441.55,2.6267,2.465,2626.7,81.30554279629034,6610.591289399399,-0.14441728759502284,8.893093286191238,,AF,1
13,-393.06,384.7,5.663090000000001,7.7,5663.090000000001,135.20079422885064,18279.254760112013,-0.11615909722069301,0.09673513786001875,-12.177107268992874,AF,1
14,-310.55,280.73,0.5080799999999999,3.125,508.0799999999998,64.49495245680863,4159.598892406006,-0.6207770144751334,4.795378894629032,-10.850708096293506,AF,1
15,-398.71,295.89,4.770320000000001,1.62,4770.320000000001,72.46930403919666,5251.800027925526,-0.36365583666127616,6.444999013198782,-10.359792999166388,AF,1
16,-51.85,89.35,2.51804,3.18,2518.04,17.95518073073823,322.38851507347346,0.6369154348935305,3.1641805741368074,-11.273997646044432,AF,1
17,-384.89,338.43,2.1698500000000003,2.3049999999999997,2169.8500000000004,72.96198882768473,5323.451813691191,-0.7678666421621996,7.928548932471765,-9.916366622894952,AF,1
